LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId
VT,Vermont,2008,OW,The Tax Burden on Tobacco,Cigarette Sales,57330405,$,Dollars,"(43.625381239, -72.517640791)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
DC,District of Columbia,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,23219000,$,Dollars,"(38.890371385, -77.031961127)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
KY,Kentucky,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,15938000,$,Dollars,"(37.645970271, -84.774971048)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
IN,Indiana,2014,OW,The Tax Burden on Tobacco,Cigarette Sales,417532271,$,Dollars,"(39.766910452, -86.149960194)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NC,North Carolina,2005,OW,The Tax Burden on Tobacco,Cigarette Sales,40052354,$,Dollars,"(35.466220975, -79.159250463)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MD,Maryland,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,349725701,$,Dollars,"(39.290580964, -76.609260111)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MS,Mississippi,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,141054278,$,Dollars,"(32.745510099, -89.538030825)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
IN,Indiana,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,411617471,$,Dollars,"(39.766910452, -86.149960194)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CT,Connecticut,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,90454000,$,Dollars,"(41.56266102, -72.649840952)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CT,Connecticut,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,75483000,$,Dollars,"(41.56266102, -72.649840952)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
ND,North Dakota,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,18450952,$,Dollars,"(47.475319779, -100.118421049)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
